           0   1.0000000000000000     
           1   1.7999999523162842     
           2   2.5446899853976523     
           3   3.0536279015836665     
           4   3.2377235608915518     
           5   3.1082145361163218     
           6   2.7463342402955853     
           7   2.2598406864350324     
           8   1.7471423094587115     
           9   1.2779097696367516     
          10  0.88918710758882180     
          11  0.59125167146117497     
          12  0.37711758797099654     
          13  0.23146957034105761     
          14  0.13709247848958758     
          15   7.8535773009491591E-002
          16   4.3607232135724573E-002
          17   2.3511670008554884E-002
          18   1.2329654100743223E-002
          19   6.2978853906046238E-003
          20   3.1375147313578372E-003
          21   1.5263015126336923E-003
          22   7.2581839235671757E-004
          23   3.3773601512141263E-004
          24   1.5391523285396359E-004
          25   6.8754676431005500E-005
